Datetime,Holiday_Name,Type
2017-01-26,Republic Day,National
2017-03-13,Holi,Regional
2017-03-30,Sarhul,Local
2017-04-09,Mahavir Jayanti,National
2017-04-14,Good Friday,National
2017-05-01,Labour Day,Regional
2017-08-15,Independence Day,National
2017-08-25,Janmashtami,Regional
2017-09-02,Karma / Karam Festival,Local
2017-09-30,Dussehra,National
2017-10-02,Gandhi Jayanti,National
2017-10-19,Diwali,National
2017-10-26,Chhath Puja,Local
2017-11-04,Guru Nanak's Birthday,National
2017-12-25,Christmas,National
2017-01-14,Tusu Parab / Makar Sankranti,Local
2017-10-19,Sohrai (pre-Diwali),Local
